Timestamp,Pelvis_extension,Pelvis_lateral_flexion_rotation,Pelvis_axial_rotation,LeftHip_flexion,LeftHip_adduction,LeftHip_external_rotation,LeftKnee_flexion,LeftKnee_adduction,LeftKnee_external_rotation,LeftAnkle_dorsiflexion,LeftAnkle_inversion,LeftAnkle_internal_rotation,RightHip_flexion,RightHip_adduction,RightHip_external_rotation,RightKnee_flexion,RightKnee_adduction,RightKnee_external_rotation,RightAnkle_dorsiflexion,RightAnkle_inversion,RightAnkle_internal_rotation,Thorax_extension,Thorax_lateral_flexion_rotation,Thorax_axial_rotation,LeftScapula_protraction,LeftScapula_medial_rotation,LeftScapula_posterior_tilt,LeftShoulder_flexion,LeftShoulder_abduction,LeftShoulder_external_rotation,LeftElbow_flexion,LeftElbow_abduction,LeftElbow_pronation,LeftWrist_flexion,LeftWrist_abduction,LeftWrist_pronation,Neck_flexion,Neck_left-ward_tilt,Neck_right-ward_rotation,RightScapula_protraction,RightScapula_medial_rotation,RightScapula_posterior_tilt,RightShoulder_flexion,RightShoulder_abduction,RightShoulder_external_rotation,RightElbow_flexion,RightElbow_abduction,RightElbow_pronation,RightWrist_flexion,RightWrist_abduction,RightWrist_pronation
30,-12.30314,-0.008565057,0.2017412,11.31264,-1.671204,1.176862,-5.247251,-0.0001775849,0,7.192329,-0.8676867,-26.21414,10.25839,2.069752,1.997824,-3.031768,0.000109283,0,2.764846,-5.141958,-13.74157,2.939448,-0.976198,-0.06255726,-13.45364,-3.299924,16.89845,-4.923741,-3.386627,5.034724,7.289465,-4.76836,-0.3566318,3.15275,-20.10166,-1.296186,0.08622923,-0.2032801,8.025731,23.45934,-3.564109,-8.244122,-3.899229,-0.633656,3.842323,3.395229,-2.653679,1.583503,8.10639,-15.36352,0.5997046
40,-12.29672,-0.01301151,0.2193969,11.08674,-1.684024,1.19812,-4.831564,-0.0001844151,0,7.031572,-0.7538548,-26.24846,9.557528,2.052916,2.004865,-1.665069,-0.0001775849,0,2.226247,-4.78144,-13.74922,2.960021,-0.9803507,-0.01978234,-13.4645,-3.310743,16.86163,-4.813488,-3.461701,4.870956,7.638204,-5.005675,-0.3800071,2.789094,-20.3822,-1.250075,0.09065409,-0.1646895,8.037,23.46712,-3.572537,-8.251716,-3.920315,-0.6573014,3.869582,3.435358,-2.688554,1.555196,8.073411,-15.41087,0.6106976
50,-12.29388,-0.01525864,0.2373883,11.05142,-1.687835,1.208528,-4.779671,-0.0001775849,0,7.016379,-0.7380908,-26.24914,9.269891,2.045812,2.005157,-1.103758,-0.0002390566,0,2.003204,-4.633088,-13.75899,2.969529,-0.9832399,0,-13.47052,-3.315838,16.84221,-4.76185,-3.495304,4.793017,7.785228,-5.10489,-0.3951527,2.668365,-20.48495,-1.216918,0.09487279,-0.1420201,8.04137,23.46511,-3.577039,-8.253072,-3.927801,-0.6691033,3.884937,3.460344,-2.706306,1.549524,8.061025,-15.42768,0.6148488
60,-12.29138,-0.01751943,0.2601963,11.03052,-1.690014,1.224932,-4.756581,-0.0001775849,0,7.014758,-0.7294984,-26.25078,8.711946,2.028327,2.01538,0,-0.0003073585,0,1.548387,-4.340032,-13.77953,2.978087,-0.9860061,0.03956468,-13.47595,-3.319479,16.82201,-4.710896,-3.526478,4.714866,7.913684,-5.191483,-0.4073442,2.513026,-20.58636,-1.194194,0.09891172,-0.1160927,8.044105,23.46242,-3.582195,-8.253262,-3.931638,-0.6821364,3.900229,3.48807,-2.723149,1.550912,8.083788,-15.43148,0.6180231
80,-12.29016,-0.02040861,0.2866737,11.06995,-1.690342,1.244112,-4.851634,-0.0001775849,0,7.061887,-0.752762,-26.24713,8.742713,2.031052,2.007596,-0.07132626,-0.0002800378,0,1.584738,-4.362155,-13.79259,2.986751,-0.9886562,0.07401875,-13.4825,-3.323365,16.80297,-4.663796,-3.555012,4.638026,8.025193,-5.264163,-0.416371,2.33431,-20.67772,-1.181343,0.1046783,-0.08709858,8.044081,23.4592,-3.588889,-8.254213,-3.934824,-0.6968932,3.915672,3.518418,-2.739172,1.558339,8.092671,-15.45455,0.6236961
90,-12.28742,-0.02928785,0.3511023,11.12624,-1.689229,1.292406,-4.999633,-0.0001844151,0,7.140674,-0.7887912,-26.24196,8.702381,2.031524,1.974966,0,-0.0002936981,0,1.570473,-4.348071,-13.81242,3.003222,-0.991279,0.1557664,-13.49889,-3.325988,16.76655,-4.55548,-3.612975,4.432178,8.173154,-5.354602,-0.3690354,1.922441,-20.83195,-1.184982,0.1170339,-0.03233412,8.043446,23.44653,-3.607358,-8.257187,-3.929097,-0.7370135,3.990203,3.576482,-2.763563,1.544464,8.070079,-15.51783,0.6342734
100,-12.28527,-0.03747042,0.3886621,11.1339,-1.690472,1.324265,-5.035984,-0.0001775849,0,7.164261,-0.7985652,-26.24068,8.707299,2.034502,1.948629,0,-0.0003005283,0,1.582514,-4.354895,-13.81995,3.011294,-0.9912927,0.2007689,-13.50528,-3.323741,16.74856,-4.518957,-3.632056,4.365358,8.227624,-5.385235,-0.3722032,1.694197,-20.88262,-1.198773,0.1266688,-0.004658189,8.041248,23.43868,-3.619823,-8.258756,-3.924359,-0.7527748,4.015133,3.608746,-2.778746,1.549776,8.083471,-15.54289,0.6391903
110,-12.28302,-0.04565299,0.4297835,11.14267,-1.691025,1.358979,-5.075164,-0.0001639245,0,7.189847,-0.8092203,-26.23931,8.720622,2.037302,1.925086,-0.04845664,-0.000286868,0,1.599121,-4.365707,-13.83441,3.018502,-0.99104,0.2502292,-13.51131,-3.32038,16.72923,-4.482793,-3.649426,4.303736,8.260015,-5.401191,-0.3748225,1.448479,-20.92864,-1.223653,0.1356209,0.02277868,8.037415,23.43144,-3.631994,-8.258517,-3.916317,-0.7666831,4.039073,3.637927,-2.793343,1.555448,8.101399,-15.56699,0.6434618
120,-12.28106,-0.05484642,0.4751895,11.14991,-1.691858,1.395075,-5.111516,-0.0001912453,0,7.213983,-0.8183318,-26.23627,8.718527,2.04,1.903412,-0.04423466,-0.0003005283,0,1.601811,-4.369299,-13.85438,3.025692,-0.9912039,0.301316,-13.51813,-3.316542,16.71049,-4.450387,-3.663671,4.242777,8.273483,-5.403984,-0.3743001,1.182502,-20.96149,-1.258966,0.1440177,0.05099419,8.033066,23.42356,-3.642123,-8.25771,-3.906855,-0.7788376,4.060841,3.66741,-2.806327,1.560222,8.183166,-15.58585,0.6483091
130,-12.27854,-0.06352759,0.5218958,11.1616,-1.691203,1.432175,-5.157727,-0.0001844151,0,7.241426,-0.8302436,-26.233,8.699965,2.040956,1.880031,0,-0.000286868,0,1.591761,-4.363651,-13.87496,3.032607,-0.9896603,0.354982,-13.5263,-3.310927,16.69309,-4.419737,-3.675623,4.185595,8.266004,-5.391649,-0.3743001,0.9117159,-20.97694,-1.301911,0.1519511,0.07787099,8.027272,23.41634,-3.653605,-8.255094,-3.89536,-0.7898148,4.078654,3.669385,-2.808109,1.527903,8.229389,-15.59735,0.6513204
