Timestamp,Pelvis_extension,Pelvis_lateral_flexion_rotation,Pelvis_axial_rotation,LeftHip_flexion,LeftHip_adduction,LeftHip_external_rotation,LeftKnee_flexion,LeftKnee_adduction,LeftKnee_external_rotation,LeftAnkle_dorsiflexion,LeftAnkle_inversion,LeftAnkle_internal_rotation,RightHip_flexion,RightHip_adduction,RightHip_external_rotation,RightKnee_flexion,RightKnee_adduction,RightKnee_external_rotation,RightAnkle_dorsiflexion,RightAnkle_inversion,RightAnkle_internal_rotation,Thorax_extension,Thorax_lateral_flexion_rotation,Thorax_axial_rotation,LeftScapula_protraction,LeftScapula_medial_rotation,LeftScapula_posterior_tilt,LeftShoulder_flexion,LeftShoulder_abduction,LeftShoulder_external_rotation,LeftElbow_flexion,LeftElbow_abduction,LeftElbow_pronation,LeftWrist_flexion,LeftWrist_abduction,LeftWrist_pronation,Neck_flexion,Neck_left-ward_tilt,Neck_right-ward_rotation,RightScapula_protraction,RightScapula_medial_rotation,RightScapula_posterior_tilt,RightShoulder_flexion,RightShoulder_abduction,RightShoulder_external_rotation,RightElbow_flexion,RightElbow_abduction,RightElbow_pronation,RightWrist_flexion,RightWrist_abduction,RightWrist_pronation
20,-11.39499,0.2183543,-1.383384,12.73355,-1.061801,-0.8681804,-8.28252,-0.0001912453,0,6.465567,-3.885982,-14.55147,12.07622,-0.5576918,0.776825,-7.682781,0.003818076,-0.06255726,6.140695,-3.633012,-13.23808,3.34685,-0.01458928,-1.328691,-13.60878,-2.470083,16.76487,-5.471745,-0.6985759,4.779405,4.842904,-2.99943,-0.9069818,3.731296,-17.06649,-1.815961,-7.907828,-0.4109862,1.244898,24.01351,-2.309273,-7.62828,-5.794304,-0.4247459,4.573167,5.489087,-3.326316,0.1978235,8.156466,-17.72223,0.1866263
30,-11.39124,0.2172205,-1.384939,11.34038,-1.043434,-0.9037398,-5.505272,-0.0001844151,0,5.290317,-3.141197,-14.61556,10.51556,-0.5726704,0.7512136,-4.570933,0.001161132,-0.03426402,4.822717,-2.80479,-13.32692,3.353571,-0.02154925,-1.328985,-13.60056,-2.468307,16.76182,-5.478402,-0.6952065,4.780805,4.840638,-2.996186,-0.9009206,3.72594,-17.06927,-1.819945,-7.898067,-0.3931798,1.239542,24.02183,-2.309267,-7.631675,-5.801269,-0.4191812,4.568591,5.496722,-3.319595,0.1988102,8.159402,-17.723,0.1845175
40,-11.38842,0.216599,-1.386069,11.40128,-1.047375,-0.901789,-5.635899,-0.0001844151,0,5.346724,-3.174235,-14.61386,10.59431,-0.5692689,0.7525149,-4.737888,0.001263585,-0.02797646,4.894089,-2.851167,-13.32142,3.356197,-0.02816087,-1.326922,-13.5927,-2.463567,16.75541,-5.479153,-0.6943616,4.794759,4.834483,-2.994218,-0.9035233,3.723153,-17.06575,-1.821127,-7.883191,-0.3734611,1.230193,24.02933,-2.310598,-7.629489,-5.805356,-0.4111691,4.559609,5.502993,-3.3145,0.2121421,8.169814,-17.72834,0.1813082
50,-11.38567,0.2159364,-1.387903,11.04525,-1.044814,-0.9095671,-4.931772,-0.0001844151,0,5.050241,-2.984752,-14.62995,10.16597,-0.5714546,0.7441474,-3.889927,0.0007444907,-0.01978234,4.535182,-2.626672,-13.33974,3.35538,-0.03316057,-1.32648,-13.59038,-2.457953,16.74829,-5.473284,-0.6946434,4.815836,4.822515,-2.991104,-0.9164255,3.72615,-17.06254,-1.82059,-7.862648,-0.3601217,1.223973,24.03243,-2.312436,-7.624085,-5.803802,-0.4015385,4.551911,5.504062,-3.314711,0.234068,8.1763,-17.72744,0.1813082
60,-11.38268,0.2159501,-1.388467,10.97844,-1.046091,-0.9127884,-4.805504,-0.0001775849,0,4.997908,-2.949426,-14.63013,10.08401,-0.5704096,0.7407211,-3.733919,0.0006761887,-0.02797646,4.468833,-2.586845,-13.34108,3.354622,-0.03930091,-1.328691,-13.59243,-2.455002,16.74597,-5.466011,-0.6966124,4.840514,4.807827,-2.987962,-0.9387863,3.733027,-17.06457,-1.820374,-7.840322,-0.3529705,1.223173,24.03198,-2.312641,-7.620764,-5.799748,-0.3921704,4.550654,5.500393,-3.314308,0.2486604,8.1847,-17.72576,0.1802258
70,-11.38065,0.2162506,-1.388608,10.88465,-1.046884,-0.9191971,-4.623045,-0.0001980755,0,4.92203,-2.897838,-14.62912,9.963401,-0.5699041,0.7354187,-3.498048,0.0005737359,0,4.368074,-2.525613,-13.34346,3.355847,-0.0445465,-1.332955,-13.59809,-2.45464,16.74773,-5.461528,-0.6982958,4.859577,4.795098,-2.983324,-0.9559301,3.73916,-17.07681,-1.822201,-7.818637,-0.3490158,1.226529,24.02956,-2.312927,-7.620533,-5.795421,-0.3856296,4.553346,5.493726,-3.310115,0.2525642,8.196303,-17.72453,0.1802258
80,-11.3797,0.2173639,-1.38903,10.85353,-1.047724,-0.9240804,-4.564029,-0.0001775849,0,4.89877,-2.880045,-14.62543,9.91788,-0.5693851,0.7319516,-3.410706,0.0005190944,0,4.331241,-2.504104,-13.34219,3.360802,-0.05006529,-1.338229,-13.60223,-2.454804,16.75246,-5.462532,-0.694925,4.867527,4.783686,-2.982279,-0.9577706,3.740102,-17.09682,-1.827242,-7.803938,-0.3434766,1.231782,24.02842,-2.315017,-7.624137,-5.795623,-0.3800071,4.561166,5.488266,-3.302055,0.249446,8.205521,-17.72545,0.1791368
100,-11.37752,0.2227803,-1.389594,10.8244,-1.04575,-0.9249271,-4.515141,-0.0001775849,0,4.882066,-2.864329,-14.62912,9.850097,-0.5719054,0.7287365,-3.285391,0.0004507925,-0.02797646,4.278556,-2.476456,-13.34173,3.372085,-0.06164929,-1.351905,-13.60969,-2.457782,16.75791,-5.476899,-0.6889865,4.845479,4.77557,-2.975388,-0.9189842,3.719996,-17.1122,-1.838879,-7.787169,-0.3317969,1.243483,24.02188,-2.31984,-7.631418,-5.802755,-0.3679734,4.578235,5.47808,-3.279474,0.2586879,8.214823,-17.73254,0.1769387
110,-11.37695,0.2223636,-1.391423,10.81485,-1.047929,-0.9242921,-4.500281,-0.0001844151,0,4.878131,-2.859985,-14.63245,9.843167,-0.5697334,0.7319516,-3.27656,0.0004576227,-0.02797646,4.274755,-2.476845,-13.34369,3.374639,-0.06793989,-1.355952,-13.61168,-2.459169,16.75742,-5.482585,-0.6918207,4.835651,4.773068,-2.96644,-0.9084908,3.70618,-17.10113,-1.842813,-7.78142,-0.3257522,1.245684,24.02008,-2.321206,-7.631624,-5.802688,-0.364769,4.576145,5.469237,-3.264974,0.2825486,8.216042,-17.73767,0.174713
120,-11.37685,0.220943,-1.393531,10.80627,-1.051323,-0.9272513,-4.485807,-0.0001775849,0,4.87339,-2.855668,-14.63186,9.842968,-0.5664549,0.7346201,-3.279785,0.0004371321,-0.01978234,4.277366,-2.479782,-13.34371,3.377016,-0.0738685,-1.357971,-13.61275,-2.462912,16.75767,-5.485194,-0.6968932,4.839107,4.766373,-2.956318,-0.9170658,3.695386,-17.08843,-1.845254,-7.775238,-0.3189493,1.245212,24.02104,-2.323794,-7.632575,-5.801235,-0.360452,4.572388,5.456538,-3.249449,0.3051875,8.21511,-17.7392,0.1735894
